id,название,цена,бренд,скидка,рейтинг,в наличии,id продавца,изображения,отзывы с текстом,рейтинг
157016696,Zip-худи GAP,3798.0,4:20 Shop,19,4,126,1213098,https://basket-10.wb.ru/vol1570/part157016/157016696/images/big/1.jpg;https://basket-10.wb.ru/vol1570/part157016/157016696/images/big/2.jpg;https://basket-10.wb.ru/vol1570/part157016/157016696/images/big/3.jpg;https://basket-10.wb.ru/vol1570/part157016/157016696/images/big/4.jpg;https://basket-10.wb.ru/vol1570/part157016/157016696/images/big/5.jpg;https://basket-10.wb.ru/vol1570/part157016/157016696/images/big/6.jpg;,0,
205306264,Футболка Lyle & Scott,2016.0,4:20 Shop,19,4,18,1213098,https://basket-13.wb.ru/vol2053/part205306/205306264/images/big/1.jpg;https://basket-13.wb.ru/vol2053/part205306/205306264/images/big/2.jpg;https://basket-13.wb.ru/vol2053/part205306/205306264/images/big/3.jpg;https://basket-13.wb.ru/vol2053/part205306/205306264/images/big/4.jpg;https://basket-13.wb.ru/vol2053/part205306/205306264/images/big/5.jpg;,0,
198253083,Худи,3960.0,4:20 Shop,19,0,120,1213098,https://basket-13.wb.ru/vol1982/part198253/198253083/images/big/1.jpg;https://basket-13.wb.ru/vol1982/part198253/198253083/images/big/2.jpg;https://basket-13.wb.ru/vol1982/part198253/198253083/images/big/3.jpg;https://basket-13.wb.ru/vol1982/part198253/198253083/images/big/4.jpg;https://basket-13.wb.ru/vol1982/part198253/198253083/images/big/5.jpg;,0,
162421005,Спортивные штаны,3150.0,4:20 Shop,19,4,36,1213098,https://basket-11.wb.ru/vol1624/part162421/162421005/images/big/1.jpg;https://basket-11.wb.ru/vol1624/part162421/162421005/images/big/2.jpg;https://basket-11.wb.ru/vol1624/part162421/162421005/images/big/3.jpg;https://basket-11.wb.ru/vol1624/part162421/162421005/images/big/4.jpg;https://basket-11.wb.ru/vol1624/part162421/162421005/images/big/5.jpg;https://basket-11.wb.ru/vol1624/part162421/162421005/images/big/6.jpg;,0,
209662976,Футболка,2097.0,4:20 Shop,19,5,18,1213098,https://basket-13.wb.ru/vol2096/part209662/209662976/images/big/1.jpg;https://basket-13.wb.ru/vol2096/part209662/209662976/images/big/2.jpg;https://basket-13.wb.ru/vol2096/part209662/209662976/images/big/3.jpg;https://basket-13.wb.ru/vol2096/part209662/209662976/images/big/4.jpg;https://basket-13.wb.ru/vol2096/part209662/209662976/images/big/5.jpg;,42,4.6
205441679,Zip - худи,4689.0,4:20 Shop,19,5,120,1213098,https://basket-13.wb.ru/vol2054/part205441/205441679/images/big/1.jpg;https://basket-13.wb.ru/vol2054/part205441/205441679/images/big/2.jpg;https://basket-13.wb.ru/vol2054/part205441/205441679/images/big/3.jpg;https://basket-13.wb.ru/vol2054/part205441/205441679/images/big/4.jpg;https://basket-13.wb.ru/vol2054/part205441/205441679/images/big/5.jpg;https://basket-13.wb.ru/vol2054/part205441/205441679/images/big/6.jpg;,2,5.0
168375863,Футболка Stussy,2097.0,4:20 Shop,19,4,18,1213098,https://basket-12.wb.ru/vol1683/part168375/168375863/images/big/1.jpg;https://basket-12.wb.ru/vol1683/part168375/168375863/images/big/2.jpg;https://basket-12.wb.ru/vol1683/part168375/168375863/images/big/3.jpg;https://basket-12.wb.ru/vol1683/part168375/168375863/images/big/4.jpg;https://basket-12.wb.ru/vol1683/part168375/168375863/images/big/5.jpg;,7,3.6
161091285,Футболка,1773.0,4:20 Shop,19,4,28,1213098,https://basket-11.wb.ru/vol1610/part161091/161091285/images/big/1.jpg;https://basket-11.wb.ru/vol1610/part161091/161091285/images/big/2.jpg;https://basket-11.wb.ru/vol1610/part161091/161091285/images/big/3.jpg;https://basket-11.wb.ru/vol1610/part161091/161091285/images/big/4.jpg;https://basket-11.wb.ru/vol1610/part161091/161091285/images/big/5.jpg;https://basket-11.wb.ru/vol1610/part161091/161091285/images/big/6.jpg;https://basket-11.wb.ru/vol1610/part161091/161091285/images/big/7.jpg;,74,4.3
197876718,Футболка Weekend Offender,1935.0,4:20 Shop,19,4,18,1213098,https://basket-13.wb.ru/vol1978/part197876/197876718/images/big/1.jpg;https://basket-13.wb.ru/vol1978/part197876/197876718/images/big/2.jpg;https://basket-13.wb.ru/vol1978/part197876/197876718/images/big/3.jpg;https://basket-13.wb.ru/vol1978/part197876/197876718/images/big/4.jpg;https://basket-13.wb.ru/vol1978/part197876/197876718/images/big/5.jpg;,69,4.4
203805149,Футболка,2097.0,4:20 Shop,19,0,120,1213098,https://basket-13.wb.ru/vol2038/part203805/203805149/images/big/1.jpg;https://basket-13.wb.ru/vol2038/part203805/203805149/images/big/2.jpg;https://basket-13.wb.ru/vol2038/part203805/203805149/images/big/3.jpg;https://basket-13.wb.ru/vol2038/part203805/203805149/images/big/4.jpg;https://basket-13.wb.ru/vol2038/part203805/203805149/images/big/5.jpg;,0,
